"Uke";"Dag";"Måltid";"Kategori";"Rett"
"1";"Mandag";"Lunch";"Fisk";"Plukkfisk med purre og bacon"
"1";"Mandag";"Lunch";"Kjott";"Pork sweetnsour"
"1";"Mandag";"Lunch";"Suppe";"Ristet rotgrønnsaksuppe"
"1";"Mandag";"Middag";"Fisk";"Lettsaltet torsk med gulrotstuing, bakte bønner og eggesmør"
"1";"Mandag";"Middag";"Kjott";"Svinenakke med brente grønnsaker og sjy saus"
"1";"Mandag";"Middag";"Suppe";"Ristet rotgrønnsaksuppe"
"1";"Tirsdag";"Lunch";"Fisk";"Sei med Ponzusmør og ingefær stekte grønnsaker"
"1";"Tirsdag";"Lunch";"Kjott";"Pasta Bolognaise"
"1";"Tirsdag";"Lunch";"Suppe";"Maissuppe"
"1";"Tirsdag";"Middag";"Fisk";"Ovnsbakt hyse med baktegrønnsaker  og sennepsaus"
"1";"Tirsdag";"Middag";"Kjott";"Ferskkjøtt med løksaus og koktepoter( melboller)"
"1";"Tirsdag";"Middag";"Suppe";"Chilisuppe"
"1";"Onsdag";"Lunch";"Fisk";"Sei Cordon Blue"
"1";"Onsdag";"Lunch";"Kjott";"Cajuan Kylling med potet og kålsalat"
"1";"Onsdag";"Lunch";"Suppe";"Thai grønnsakssuppe"
"1";"Onsdag";"Middag";"Fisk";"Bacalao med oliven"
"1";"Onsdag";"Middag";"Kjott";"Asiatisk Svineribbe med hoisin sauce og ris"
"1";"Onsdag";"Middag";"Suppe";"Thai grønnsakssuppe"
"1";"Torsdag";"Lunch";"Fisk";"Fiskegrateng med eggesmør og råkost"
"1";"Torsdag";"Lunch";"Kjott";"Cottage pie"
"1";"Torsdag";"Lunch";"Suppe";"Tomatsuppe med egg"
"1";"Torsdag";"Middag";"Fisk";"Fish`n Chips med erter og remulade"
"1";"Torsdag";"Middag";"Kjott";"Kjøttkaker med erterstuing"
"1";"Torsdag";"Middag";"Suppe";"Tomatsuppe med egg"
